code,product_name,brands,categories,energy-kcal_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,fat_100g,saturated-fat_100g,salt_100g,nova_group,nutriscore_grade,ingredients_text,url,last_modified_datetime
8906080604669,Paper boat orange 250ml pet,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8906080604669/paper-boat-orange-250ml-pet,2026-07-12T04:41:21Z
3948764012914,Cocacola zero,Cocacola,"Diet cola soft drink, Sweetened beverages",44,10.9,10.6,0,0,0,0,0.02125,,e,,https://in.openfoodfacts.org/product/3948764012914/cocacola-zero,2026-07-12T04:40:03Z
8904132975408,campa cola,Campa,Sodas,42,10.6,10.6,,0,0,0,0.025,,d,,https://in.openfoodfacts.org/product/8904132975408/campa-cola,2026-07-12T04:39:35Z
8909081005749,B natural Mixed Fruit,B Natural,Beverages,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8909081005749/b-natural-mixed-fruit,2026-07-12T04:37:28Z
8909081005756,B natural Guava Juice,B Natural,Beverages,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8909081005756/b-natural-guava-juice,2026-07-12T04:36:58Z
8906144491808,Cold Coffee,Sleepy Owl,,67,11.2,11.2,,3,1.1,0.11,0.01175,,unknown,,https://in.openfoodfacts.org/product/8906144491808/cold-coffee-sleepy-owl,2026-07-12T04:08:49Z
8908020463657,Ragi Chips,Crax,Snacks,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8908020463657/ragi-chips-crax,2026-07-12T02:24:54Z
6291100195558,Date Crown Fard,Date Crown,Dates,325,76,66.4,6.8,4.4,0.4,0,0.02425,1,c,Dates,https://in.openfoodfacts.org/product/6291100195558/date-crown-fard,2026-07-12T02:23:39Z
8906001028772,Classic cold Coffee,Avvatar,Coffee drinks,59.8,6.2,4.28,1.92,6.2,1.56,1,0.175,4,c,"Cow's Milk, Water, Milk Protein concentrate, Prebiotic Inulin, Coffee powder, Stabilizer (INS 460 (i), INS 466, INS 471, INS 407, INS 418), Emulsifier (INS 340, INS 452(i), INS 331(iii), Iodised salt, Monk Fruit concentrate, Steviol glycosides (INS 960), Antioxidant (INS 320)",https://in.openfoodfacts.org/product/8906001028772/classic-cold-coffee-avvatar,2026-07-12T02:20:04Z
8906117361336,Greek Yogurt Vanilla,Country Delight,,132,14,14,,10,4,2.9,0.1075,,unknown,,https://in.openfoodfacts.org/product/8906117361336/greek-yogurt-vanilla-country-delight,2026-07-11T20:02:26Z
8906065169671,ITC Master Chef Desi Style Chicken Patty,ITC Master Chef,,265.454545454545,19.2727272727273,2.54545454545455,,10.1818181818182,16.3636363636364,7.09090909090909,1.51181818181818,4,unknown,"Chicken (41.2%), Water, Breadcrumbs (Refined Wheat Flour (Maida! Dextrose, lodized Salt and Yeast), Refined Palm Oil, Batter (Stabilizer INS 466 Soy Granule, Seasoning lodized Salt, Mixed Spices, Milk Solids Dehydrated Onion, Sugar, Stabilizer [INS 451( Hydrolyzed Vegetable Protein, Dehydrated Fenugreek Leaves, Refined Sunflower Oil and Natural Flavours and Natural Flavouring Substances and Nature Identical Flavouring Substances), Soy Protein Isolate, Degermed Com Flour, Wheat Fibre, Defatted Soya Powder and Sequestrants INS 451 INS 450 INS 4510), INS 4500 INS 4500)",https://in.openfoodfacts.org/product/8906065169671/itc-master-chef-desi-style-chicken-patty,2026-07-11T18:30:18Z
0769807238183,Rogan Josh,Curryit,,229.725,20.125,5.725,,2.9,14.9,3.2,3.1725,,unknown,,https://in.openfoodfacts.org/product/0769807238183/rogan-josh-curryit,2026-07-11T18:14:45Z
00890425,Carbonated Water Based Flavoured Drink,RAW POP,,9.54,2.36,0.29,2.06,0.004,0.01,,0.03525,,unknown,,https://in.openfoodfacts.org/product/00890425/carbonated-water-based-flavoured-drink-raw-pop,2026-07-11T18:07:19Z
8906143892743,Hazelnut Millet Cocoa Protein Bar,The Whole Truth,,503.636363636364,38.1818181818182,21.4545454545455,,22.3636363636364,29.0909090909091,,,,unknown,,https://in.openfoodfacts.org/product/8906143892743/hazelnut-millet-cocoa-protein-bar-the-whole-truth,2026-07-11T16:43:27Z
0890282001440,Lemon Almond bar,Step One Foods,Mixed nuts and dried fruits,414.634146341463,51.219512195122,36.5853658536585,12.1951219512195,9.75609756097561,19.5121951219512,1.21951219512195,0,1,c,"Dates, almonds, walnuts, chia seeds, flax seeds, oat bran, plant sterols, dehydrated lemon juice, Saskatoon berries, lemon oil.",https://in.openfoodfacts.org/product/0890282001440/lemon-almond-bar-step-one-foods,2026-07-11T16:21:15Z
8906170521630,Yeast protein,Nutrabay,Nutritional yeast,385.53,20,,6.9,70,4.37,1.33,1.452,4,unknown,"Fermented Yeast Protein, Cocoa Powder, Coconut Milk Powder, Nature Identical (INS 415, E407), Digestive Enzymes (Amylase, Chocolate Flavouring Substances, Emulsifier Protease, Lipase, Lactase & Cellulase), Sodium Chloride & Sweetener (INS 955).",https://in.openfoodfacts.org/product/8906170521630/yeast-protein-nutrabay,2026-07-11T15:33:58Z
8906125310210,Honey,Rajdhani,Honeys,327,81.9,0,0,0.3,0,0,0,2,c,100% Honey,https://in.openfoodfacts.org/product/8906125310210/honey-rajdhani,2026-07-11T15:24:02Z
8904083302513,Yogurt,Milky Mist,Skyrs,99.5,9.5,9.5,,12,1.5,0.5,0.36,1,a,"Pasteurized Skimmed Milk, Milk Solids, Active Lactic Cultures (L.bacillus delbrueckii subsp. bulgaricus. S.thermophilus) & Probiotic Culture (Bifidobacterium Lactis)",https://in.openfoodfacts.org/product/8904083302513/yogurt-milky-mist,2026-07-11T15:03:48Z
8905950003779,bikaji moong dal,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8905950003779/bikaji-moong-dal,2026-07-11T14:58:30Z
8906001211891,Amla Candy,Markfed Sohna,Candies,341.46,84.96,64.74,,0.27,0.06,,,3,unknown,"Amla, Fruit, Sugar, Acidity Regulator Citric Acid(INS 330) , Preservative(INS-211)",https://in.openfoodfacts.org/product/8906001211891/amla-candy-markfed-sohna,2026-07-11T14:16:44Z
0800200270001,ICE BREAKERS DUO STRAWBERRY MINTS,Ice Breakers,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/0800200270001/ice-breakers-duo-strawberry-mints,2026-07-11T13:44:22Z
8901262202442,Probiotic Curd,Amul,,65,4.6,4.6,,4,3.1,2,0.125,,unknown,,https://in.openfoodfacts.org/product/8901262202442/probiotic-curd-amul,2026-07-11T12:02:57Z
8908015836169,Quinoa Crisps (Smokey Bbq),The Healthy Binge,Crisps,450,58,1.1,10.875,13.075,18.45,1.85,1.53125,3,c,"Quinoa Flour, Jowar Flour, Rice Flour, Potato Powder, Natural Mixed Tocopherol, Salt, Sunflower Oil, Spices and condiments. INS330. Latve identical flavouring substances alcium 12 The % Daily Value te tribute to a daily die ce Standard Size unc es shown on pack other fried chip in cool dry pla ot buy back if f",https://in.openfoodfacts.org/product/8908015836169/quinoa-crisps-smokey-bbq-the-healthy-binge,2026-07-11T09:27:56Z
8904083310013,Milky mist plain cheese spread 200 g,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8904083310013/milky-mist-plain-cheese-spread-200-g,2026-07-11T09:21:59Z
8906161390658,Oats Coconut Cookies,Let's Try,Biscuits,467.2,61.88,17.81,5.11,10.28,19.84,8.94,211.625,4,e,"Whole Wheat Flour, Brown Sugar, Shortening, Oats, Coconut Powder, Milk, Glucose, Custard Powder, Maize Starch, Honey, Raising Agent (INS 503), Salt, Leavening Agent (INS 503(ii)). Artificial Flavouring Agents (Coconut, Milk). Allergen Information: Contains gluten, oats and milk, Also packed in a facility that also handles nuts. Proprietary Food (Cookies) OATS COCONUT C 8906161 3906",https://in.openfoodfacts.org/product/8906161390658/oats-coconut-cookies-let-s-try,2026-07-11T09:19:35Z
8909081000843,Jaggery oats Cookies,Right Shift,,500,57,18.3,7.3,8.2,28.2,7.4,0.89,,unknown,,https://in.openfoodfacts.org/product/8909081000843/jaggery-oats-cookies-right-shift,2026-07-11T08:26:45Z
8905950003533,All-in-One Kuch-Kuch,Bikaji,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8905950003533/all-in-one-kuch-kuch-bikaji,2026-07-11T07:50:52Z
8905950001102,Chips Mast Masala,Bikaji,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8905950001102/chips-mast-masala-bikaji,2026-07-11T07:30:46Z
7622202836619,Oreo Golden Vanilla,"Oreo, Cadbury",,492,72,37,,4,20,18,0.705,,unknown,,https://in.openfoodfacts.org/product/7622202836619/oreo-golden-vanilla,2026-07-11T07:20:36Z
8906000612590,Air Fryer French Fries,McCain,Frozen French fries air fryer,149,24.87,0.5,,2.66,4.33,2.03,0.5061,,c,,https://in.openfoodfacts.org/product/8906000612590/air-fryer-french-fries-mccain,2026-07-11T07:08:36Z
6942836721428,Hersheys Strawberries,Hershey's,,544.444444444444,58.6111111111111,54.7222222222222,2.5,6.94444444444444,31.3888888888889,17.7777777777778,0.201388888888889,,unknown,,https://in.openfoodfacts.org/product/6942836721428/hersheys-strawberries-hershey-s,2026-07-11T06:30:17Z
8901063338555,100% Whole Wheat Bread,Britannia,Wheat breads,245,50.7,1.5,4.4,8.3,2,0.6,0,,a,,https://in.openfoodfacts.org/product/8901063338555/100-whole-wheat-bread-britannia,2026-07-11T05:11:23Z
8901207051449,Zeera Mast Chatpata,Hajmola,Sodas,48,12,11.9333333333333,,,,,0.54,4,unknown,"Water, Sugar, Carbonating Agent (Carbon Dioxide), Black Salt, lodized Salt, Acidity Regulators (INS 330 & INS 331, Lemon Juice Concentrate (Equivalent to 0.9% Lemon Juice Reconstituted), Flavours (Nature Identical Flavouring Substances), Antioxidant (INS 300), Colour (INS 150a) and Preservative (INS 211).",https://in.openfoodfacts.org/product/8901207051449/zeera-mast-chatpata-hajmola,2026-07-11T05:10:08Z
8903071009311,Fresh Frozen Green Peas,MR FREEZE,Frozen green peas,,,,,,,,,1,unknown,Green Peas,https://in.openfoodfacts.org/product/8903071009311/fresh-frozen-green-peas-mr-freeze,2026-07-11T05:07:01Z
8908025094047,Gond-Giri Atta Laddu,mumchies,Sweet snacks,501.6,262,100.4,,6.8,23.6,17.2,,,unknown,,https://in.openfoodfacts.org/product/8908025094047/gond-giri-atta-laddu-mumchies,2026-07-11T05:05:14Z
3948063029422,Jim jam,Britannia,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/3948063029422/jim-jam-britannia,2026-07-11T04:35:54Z
8901063029422,Jimjam,Britannia,"Sandwich biscuits, Flavored sandwich biscuit",4200,634.782608695652,291.304347826087,,43.4782608695652,165.217391304348,,4.65217391304348,4,unknown,"REFINED WHEAT FLOUR (MAIDA), SUGAR (24%), REFINED PALM OIL & INTERESTÉRIFIED VEGETABLE FAT, INVERT SUGAR SYRUP, DEXTROSE, MILK PRODUCTS (MILK SOLIDS & SWEETENED CONDENSED MILK), EDIBLE MAIZE STARCH, MALTODEXTRIN, FRUIT PRODUCTS (0.7%) (APPLE JUICE CONCENTRATE, BANANA POWDER & PLUM JUICE CONCENTRATE), IODISED SALT, EMULSIFIERS [322(i) & 471], RAISING AGENTS [503(ii) & 500(ii)], NATURE IDENTICAL AND ARTIFICIAL (MIXED FRUIT, VANILLA & BUTTER) FLAVOURING SUBSTANCES, ACIDITY REGULATORS [330 & 331(iii)], GELLING AGENT (440) AND COLOUR (122).",https://in.openfoodfacts.org/product/8901063029422/jimjam-britannia,2026-07-11T04:34:51Z
8906112996212,High Protein Bread,Protein Chef,Breads,287,53,3.6,10.5,18.5,2.4,0.3,1.325,4,c,"Whole Wheat Flour (Atta), High Protein Blend (Soya Flour, Peanut Flour), Vital Wheat Gluten, Broken Wheat, Vinegar, Yeast, Iodised Salt, Sugar, Refined Sunflower oil, Bread Premix, Bread Improver.",https://in.openfoodfacts.org/product/8906112996212/high-protein-bread-protein-chef,2026-07-11T03:43:19Z
5449000000996,coca-cola,Coca-Cola,"Colas, pt:bebidas cafeína",42,10.6,10.6,,0,0,0,0,4,e,"carbonated water, sugar, colour (caramel e150d), acid (phosphoric acid), natural flavourings, caffeine flavouring,",https://in.openfoodfacts.org/product/5449000000996/coca-cola,2026-07-11T03:00:31Z
3017620425035,pâte à tartiner aux noisettes et au cacao,Nutella,"Confectionary based spreads, pates-a-tartiner-au-chocolat, pates-a-tartiner-aux-noisettes, pates-a-tartiner-aux-noisettes-et-au-cacao, petit-dejeuners, produits-a-tartiner, produits-a-tartiner-sucres",539,57.5,56.3,,6.3,30.9,10.6,0.107,4,e,UARE ALLE CAD be nutella FERRERO Da co 2252 336 KALE,https://in.openfoodfacts.org/product/3017620425035/pate-a-tartiner-aux-noisettes-et-au-cacao-nutella,2026-07-11T02:07:15Z
8901725012953,sunfeast Marie light 10 MRP,Coffee-Mate,Biscuits,,,,,,,,,,unknown,"REFINED WHEAT FLOUR NED PALM OIL INVERT SYRE SED MILK, RISING AGEN ZED SALT, NATURE IDENTICAL CES, FLOUR TREATMENT AGENT ACETYLTARTARIC AND FATTY ACID (FROM REFINED AL FLAVOURING SUBSTANCES OIL AND PALM OIL)). TAINS W MAY CONTAIN NGAL COLOUR Sunfea VITAMINS",https://in.openfoodfacts.org/product/8901725012953/sunfeast-marie-light-10-mrp-coffee-mate,2026-07-10T17:54:48Z
8908009059383,Focaccia Sourdough Bread,The Health Factory,Sourdough breads,261.25,45,3.75,6.25,13.675,2.8875,,,4,unknown,"Chakki Fresh Atta (Whole Wheat Flour), Yeast, Wheat Gluten, Olive Oil (Edible Vegetable Oil), lodised Salt, Cane Sugar, Cultured Wheat Flour, Oregano, Rosemary, Sage, Thyme, Natural Olive Oil Flavour.",https://in.openfoodfacts.org/product/8908009059383/focaccia-sourdough-bread-the-health-factory,2026-07-10T17:01:49Z
8901063369061,50-50 caramel Dipped,Britannia,,485,71.1,26.3,,6,19.6,14,0.8425,,unknown,,https://in.openfoodfacts.org/product/8901063369061/50-50-caramel-dipped-britannia,2026-07-10T15:55:37Z
8904043500966,Brownie with Real Walnuts,Modern,Brownies,377.31,39.88,25.99,1.12,6.75,20.95,5.68,0.439575,4,d,"Sugar, Refined Wheat Flour (Maida), Brownie Concentrate (20%)[Refined Wheat Flour (Maida), Cocoa Solids (17%), Sugar, Milk Solids, Leavening Agent (500(ii)), Emulsitter (322(1)), Stabiliser (415 todised Salt, Nature Identical Flavouring Substances], Refined Faimolein Oil, Dark Compound (8%) [Sugar, Hydrogenated Vegetable Fat, Cocoa Solids, Emulsifiers (492, (322(i)), Nature Identical Flavouring Substances], Invert Sugar, Humectant (422), Walnut (2.3%), Milk Solids, Cocoa Solids (1%), Preservatives (282, 202), Emulsifier (471), Acidity Regulators (330, 260)",https://in.openfoodfacts.org/product/8904043500966/brownie-with-real-walnuts-modern,2026-07-10T13:48:30Z
0890282001433,Lemon Almond Bar,Step One Foods,Mixed nuts and dried fruits,170,21,15,5,4,8,1.21951219512195,0,1,c,"Dates, almonds, walnuts, chia seeds, flax seeds, oat bran, plant sterols, dehydrated lemon juice, Saskatoon berries, lemon oil.",https://in.openfoodfacts.org/product/0890282001433/lemon-almond-bar-step-one-foods,2026-07-10T13:43:18Z
8902268015852,Top ROYALE Butter & CHEESE,Anmol,,504.5,65.5,10.1,,7.3,23.7,11.8,1.3925,,unknown,,https://in.openfoodfacts.org/product/8902268015852/top-royale-butter-cheese-anmol,2026-07-10T13:42:20Z
8901548431108,Sugar Free Green Sweetner,Sugar Free,Artificial sugar substitutes,,,,,,,,,4,not-applicable,"Carrier (Lactose), Dispersing Agent Microcrystalline Cellulose, Non Calorie Sweetener - Steviol Glycoside Binder - Croscarmellose Sodium, Anticaking Agent - Colloidal Silicon Dioxide, Magnesium Stearate (ADI of Steviol Glycoside - 4 mg/kg body weight expressed as steviol))",https://in.openfoodfacts.org/product/8901548431108/sugar-free-green-sweetner,2026-07-10T13:40:11Z
8901030935220,8901030935220,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8901030935220/8901030935220,2026-07-10T11:43:54Z
8901030646225,green label bru,bRU,Green lables,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8901030646225/green-label-bru,2026-07-10T11:43:02Z
8906015500844,Lachha Paratha,Keventer,Paratha,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8906015500844/lachha-paratha-keventer,2026-07-10T11:26:23Z
8939127759718,Bitter Gourd Chips,Fruity Treat,,502,67,,,8,25,0.8,,,unknown,,https://in.openfoodfacts.org/product/8939127759718/bitter-gourd-chips-fruity-treat,2026-07-10T10:31:03Z
8901120143917,Suger free powder,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8901120143917/suger-free-powder,2026-07-10T09:12:53Z
8901058008906,Lactogen pro 2,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8901058008906/lactogen-pro-2,2026-07-10T09:07:35Z
8904145911394,Ensure,Abbott Healthcare pvt. Ltd,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8904145911394/ensure-abbott-healthcare-pvt-ltd,2026-07-10T09:01:33Z
8000500347508,Kinder Cards 3шт,Kinder,"Confectioneries, Chocolate biscuits",510,55.9,42.9,,11.5,26.3,13.5,0.445,4,e,"is waffle stuffed with milk (41,5 %) and cocoa (38 %), ingredients: lc wheat flour (15,5 %), fat-reduced cocoa powder (4 % leavening agent (sodium bicarbonate), vanillin, may contain saf ferrero polska commercial sp, z o,o,, ul, wiertnicza 126, 02 eugesta (kibirkšties g,8, lt-02242 vilnius), /izplatītājs: sia ,quot,eur riga, t, 67472500), / distributor: as mobec, kurekivi tee 6, leh wartość odżywcza / maistinė vertė/ uzturvertiba/nutritional value wartość energetyczna (energy) /  energiné verté/enerģētiska vertiba/energy content tłuszcz /riebalal/tauki /rasvad w tym kwasy tłuszczowe nasycone / iš kurių sočiųjų riebalų rūgščių/ tostarp piesátinätäs taukskäbes/of which saturated fatty acids węglowodany/angliavandeniai/ oglhidrĳ �ti / carbohydrates w tym cukry/iš kurių cukrų/ tostarp cukuri /of which sugars białko/baltymai/olbaltumvielas/proteins sól/druska/sals/salt * referencyjna wartość spożycia dla przeciętnej osoby doroslej asmens vartojimo kiekis (8 400 kj/2 000 kcal/, quot,leteicamā deva vi adult reference intake (8 400 kj/2 000 kcal) 8 000500 347508,quot, 6 sztuk/ infolinia ferrer 801 55 oplata wedlug staw www,ferre serwis,konsumenck",https://in.openfoodfacts.org/product/8000500347508/kinder-cards-3шт,2026-07-10T07:50:54Z
